,Date,Runway,Target_Set_By_Controllers,Upper_Threshold_Set_By_Controllers,Time_Metering_Triggered,Max_Active_Delay_When_Triggered,Number_Active_Aircraft_When_Triggered,Max_Planning_Delay_When_Triggered,Number_Planning_Aircraft_When_Triggered,Max_Uncertain_Delay_When_Trigger,Time_Trigger_12MinActiveDelay_12MinPlanningDelay
0,12/3/17,36R,12,16,12/3/17 14:05,0 days 00:00:00,1,0 days 00:14:19,7,0 days 00:31:39,12/3/17 14:39
1,12/3/17,36C,12,16,12/3/17 14:32,0 days 00:06:14,15,0 days 00:10:28,12,0 days 00:08:27,FALSE
2,12/4/17,36R,12,14,12/4/17 14:08,0 days 00:00:30,2,0 days 00:14:17,5,0 days 00:20:56,12/4/17 14:33
3,12/4/17,36C,12,14,12/4/17 14:06,0 days 00:00:30,6,0 days 00:06:05,9,0 days 00:16:05,12/4/17 14:36
4,12/5/17,18L,14,18,12/5/17 14:11,0 days 00:00:00,1,0 days 00:11:26,13,0 days 00:38:18,12/5/17 14:35
5,12/5/17,18C,14,18,12/5/17 14:22,0 days 00:02:26,6,0 days 00:22:59,16,0 days 00:18:17,12/5/17 14:46
6,12/6/17,36R,14,18,12/6/17 14:12,0 days 00:04:28,4,0 days 00:13:59,9,0 days 00:34:20,12/6/17 14:41
7,12/6/17,36C,14,18,12/6/17 14:19,0 days 00:04:06,10,0 days 00:13:57,10,0 days 00:15:32,12/6/17 14:27
8,12/7/17,36R,13,17,12/7/17 14:20,0 days 00:02:12,8,0 days 00:18:45,9,0 days 00:30:31,12/7/17 14:36
9,12/7/17,36C,13,17,12/7/17 14:15,0 days 00:01:15,8,0 days 00:10:26,13,0 days 00:18:08,12/7/17 14:37
10,12/8/17,36R,12,14,12/8/17 14:22,0 days 00:00:00,5,0 days 00:05:36,7,0 days 00:24:08,12/8/17 14:58
11,12/8/17,36C,12,14,12/8/17 14:26,0 days 00:06:05,11,0 days 00:09:39,5,0 days 00:13:14,12/8/17 14:36
12,12/9/17,36R,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/9/17 15:01
13,12/9/17,36C,12,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,12/10/17,36R,14,17,12/10/17 14:42,0 days 00:16:07,14,0 days 00:35:33,5,0 days 00:38:34,12/10/17 14:37
15,12/10/17,36C,14,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,12/11/17,36R,14,16,12/11/17 14:14,0 days 00:03:57,5,0 days 00:12:46,7,0 days 00:43:29,12/11/17 14:29
17,12/11/17,36C,14,16,12/11/17 14:27,0 days 00:07:20,18,0 days 00:16:28,9,0 days 00:17:09,12/11/17 14:45
18,12/12/17,36R,14,18,12/12/17 14:25,0 days 00:08:04,9,0 days 00:10:40,6,0 days 00:38:12,12/12/17 14:45
19,12/12/17,36C,14,18,12/12/17 14:33,0 days 00:07:01,12,0 days 00:10:20,9,0 days 00:23:26,FALSE
24,12/13/17,18L,14,20,12/13/17 14:10,0 days 00:02:20,5,0 days 00:09:43,11,0 days 00:32:50,12/13/17 14:22
25,12/13/17,18C,14,20,12/13/17 14:28,0 days 00:04:44,14,0 days 00:12:08,7,0 days 00:20:09,12/13/17 14:56
26,12/14/17,18L,14,20,12/14/17 14:13,0 days 00:00:32,4,0 days 00:08:56,7,0 days 00:27:41,12/14/17 14:34
27,12/14/17,18C,14,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,12/14/17 14:55
28,12/15/17,36R,14,20,12/15/17 14:17,0 days 00:01:56,4,0 days 00:06:53,6,0 days 00:34:26,12/15/17 14:35
29,12/15/17,36C,14,20,12/15/17 14:24,0 days 00:02:39,9,0 days 00:11:56,11,0 days 00:23:52,FALSE
30,12/16/17,36R,14,18,12/16/17 14:24,0 days 00:00:18,4,0 days 00:12:26,6,0 days 00:31:59,12/16/17 14:55
31,12/16/17,36C,14,18,12/16/17 14:28,0 days 00:04:20,7,0 days 00:08:23,12,0 days 00:18:35,12/16/17 14:57
32,12/17/17,36R,14,16,12/17/17 14:38,0 days 00:01:38,8,0 days 00:07:33,5,0 days 00:29:58,12/17/17 14:43
