,Date,Runway,Target_Set_By_Controllers,Upper_Threshold_Set_By_Controllers,Lower_Threshold_Set_By_Controllers,Time_Metering_Triggered,Max_Active_Delay_When_Triggered,Number_Active_Aircraft_When_Triggered,Max_Planning_Delay_When_Triggered,Number_Planning_Aircraft_When_Triggered,Max_Uncertain_Delay_When_Trigger,Time_Trigger_12MinActiveDelay_12MinPlanningDelay
0,2017-12-03,36R,12,16,11,2017-12-03 14:05:15,0 days 00:00:00,1,0 days 00:14:19,7,0 days 00:31:39,2017-12-03 14:39:55
1,2017-12-03,36C,12,16,11,2017-12-03 14:32:15,0 days 00:06:14,15,0 days 00:10:28,12,0 days 00:08:27,False
2,2017-12-04,36R,12,14,10,2017-12-04 14:08:35,0 days 00:00:30,2,0 days 00:14:17,5,0 days 00:20:56,2017-12-04 14:33:45
3,2017-12-04,36C,12,14,10,2017-12-04 14:06:55,0 days 00:00:30,6,0 days 00:06:05,9,0 days 00:16:05,2017-12-04 14:36:45
4,2017-12-05,18L,14,18,13,2017-12-05 14:11:54,0 days 00:00:00,1,0 days 00:11:26,13,0 days 00:38:18,2017-12-05 14:35:54
5,2017-12-05,18C,14,18,13,2017-12-05 14:22:04,0 days 00:02:26,6,0 days 00:22:59,16,0 days 00:18:17,2017-12-05 14:46:24
6,2017-12-06,36R,14,18,13,2017-12-06 14:12:54,0 days 00:04:28,4,0 days 00:13:59,9,0 days 00:34:20,2017-12-06 14:41:34
7,2017-12-06,36C,14,18,13,2017-12-06 14:19:44,0 days 00:04:06,10,0 days 00:13:57,10,0 days 00:15:32,2017-12-06 14:27:14
8,2017-12-07,36R,13,17,12,2017-12-07 14:20:14,0 days 00:02:12,8,0 days 00:18:45,9,0 days 00:30:31,2017-12-07 14:36:24
9,2017-12-07,36C,13,17,12,2017-12-07 14:15:04,0 days 00:01:15,8,0 days 00:10:26,13,0 days 00:18:08,2017-12-07 14:37:14
